source,target
SegoAG,EdwardWorthLib
emodmetals,emi_rowe
emodmetals,BethanyGaunt1
emodmetals,stella_wisgrill
emodmetals,BethanyGaunt1
mikecosgrave,EdwardWorthLib
EilishGregory,EdwardWorthLib
js_thrill,DelilahBermudez
js_thrill,MarCavendishSoc
MarCavendishSoc,DelilahBermudez
MarCavendishSoc,MarCavendishSoc
SamhainNight,EdwardWorthLib
HistIreHedge,EdwardWorthLib
BridMcGrath,EdwardWorthLib
abuelitagiovi,DelilahBermudez
abuelitagiovi,MarCavendishSoc
PhdNatale,danielagtz
DrPastonsRUs,HarryMcCarthy
postmedieval,LFG_Hist
postmedieval,drnandico
postmedieval,GTS_Lincoln
ArtmuseumNews,danielagtz
stanfordpress,CAP_Ltd
ArtmuseumNews,HarryMcCarthy
RSAorg,m_bassnett
Exhaust_Fumes,jotis13
sourdoughchef,DrDanielleTW
sourdoughchef,Bibliophilenick
CUP_LitPerform,cambUP_History
ArtmuseumNews,rgwakeman
RSAorg,elsjevankessel
RSAorg,RSAorg
elsjevankessel,RSAorg
MrDrurySci,MrDrurySci
MrDrurySci,AyyVeeBee
LisandraEsteve1,LFG_Hist
LisandraEsteve1,drnandico
LisandraEsteve1,GTS_Lincoln
Library_RIA,TLRHub
Library_RIA,TLRHub
elo_dav,_Rachel_Healy_
elo_dav,RSAorg
TCDEnglish,TLRHub
TCDEnglish,TLRHub
ArtmuseumNews,Hannah_Wiepke
ikonotaph,danielagtz
RSAorg,_Rachel_Healy_
RSAorg,RSAorg
_Rachel_Healy_,RSAorg
mariapower,MrDrurySci
mariapower,AyyVeeBee
RSAorg,danielagtz
RSAorg,HarryMcCarthy
RSAorg,rgwakeman
RSAorg,sourdoughchef
RSAorg,AyyVeeBee
RSAorg,jessica_sciarra
RSAorg,rgwakeman
RSAorg,medrenliza
ciuhct,ErcRutter
ciuhct,ErcRutter
ciuhct,ErcRutter
ciuhct,JMMorenoMadrid
ciuhct,ErcRutter
ReimaginingLinc,LFG_Hist
ReimaginingLinc,drnandico
ReimaginingLinc,GTS_Lincoln
ULHistory,LFG_Hist
ULHistory,drnandico
ULHistory,GTS_Lincoln
SarahALang_,jotis13
currmon,LFG_Hist
currmon,drnandico
currmon,GTS_Lincoln
e_b_wood,LFG_Hist
e_b_wood,drnandico
e_b_wood,GTS_Lincoln
sourdoughchef,AyyVeeBee
GTS_Lincoln,LFG_Hist
GTS_Lincoln,drnandico
GTS_Lincoln,GTS_Lincoln
LFG_Hist,drnandico
LFG_Hist,GTS_Lincoln
365Carroll,RSAorg
WorthingtonD,EM_Central_Eu
DelilahBermudez,MarCavendishSoc
IMEMSDurham,boydellbrewer
IMEMSDurham,IMEMSDurham
AuthorizingW,anna_kowalcze
AuthorizingW,MarCavendishSoc
MarCavendishSoc,anna_kowalcze
MarCavendishSoc,MarCavendishSoc
GVogeler,de_dedris
GVogeler,SarahALang_
herman_nick_,maudlaelejeune
RonaldClarke,degruyter_arts
RSAorg,Hannah_Wiepke
RSAorg,ReidProf
RSAorg,MrDrurySci
RSAorg,AyyVeeBee
MrDrurySci,AyyVeeBee
samsonaws,HistoriasPod1
elo_dav,kmschultz24
elo_dav,cath_fletcher
elo_dav,NGIreland
elo_dav,stefanovil
elo_dav,Patricksmcg
LalaineLittle,NMIreland
JTMassey79,RSAorg
CamLibResearch,robert_stagg
CamLibResearch,RSAorg
RSAorg,saskia_limbach
RSAorg,RSAorg
RSAorg,L_Sansonetti
RSAorg,RSAorg
RSAorg,robert_stagg
RSAorg,RSAorg
robert_stagg,RSAorg
L_Sansonetti,RSAorg
StoffSebi,de_dedris
StoffSebi,SarahALang_
samsonaws,munoz90_laura
samsonaws,kello_robin
samsonaws,VRasbridge
saskia_limbach,RSAorg
DrPastonsRUs,erinkrowe
ArtmuseumNews,robert_stagg
ArtmuseumNews,RSAorg
ArtmuseumNews,emi_rowe
RSAorg,jmcardenas_
RSAorg,robert_stagg
RSAorg,RSAorg
RSAorg,RenskeHoff
RSAorg,emi_rowe
RSAorg,maudlaelejeune
RSAorg,sian_hibbert
RSAorg,rosiejcousins
feinzeit,erinkrowe
DECIMAUoT,RSAorg
EHPC_BookSeries,utpress
iberianart,HistoriasPod1
NunoTwitting,HistoriasPod1
joanne1503,RSAorg
publicationbot,sian_hibbert
robert_stagg,RSAorg
egaffney4,HistoriasPod1
HolguinSandie,HistoriasPod1
alchemietagung,erinkrowe
AmsterdamUPress,NoteArtHerstory
AmsterdamUPress,AmsterdamUPress
AmsterdamUPress,RSAorg
robert_stagg,RSAorg
SHARPorgNews,jotis13
RSAorg,BethanyGaunt1
RSAorg,medrenliza
RSAorg,dcvanderlinden
RSAorg,erinkrowe
RSAorg,HistoriasPod1
RSAorg,robert_stagg
RSAorg,RSAorg
RSAorg,owilliamsdc
RSAorg,TraceLarkhall
RSAorg,cath_fletcher
RSAorg,NGIreland
RSAorg,munoz90_laura
RSAorg,RhondaSharrah
RSAorg,nikkiclarke1
RSAorg,nam__rao
RSAorg,jotis13
RSAorg,vitticomacchi
RSAorg,PhdNatale
RSAorg,AnnaRCusack
Moonbootica,cath_fletcher
Moonbootica,NGIreland
munoz90_laura,RhondaSharrah
owilliamsdc,TraceLarkhall
cath_fletcher,NGIreland
cath_fletcher,NGIreland
CarlPaltr,jotis13
owilliamsdc,jotis13
robert_stagg,RSAorg
FArmillei,stefanovil
FArmillei,L_Sansonetti
ChachiaE,owilliamsdc
DH_Graz,de_dedris
DH_Graz,SarahALang_
emi_rowe,BethanyGaunt1
carolatte44,robert_stagg
carolatte44,RSAorg
stanley_wells,robert_stagg
stanley_wells,RSAorg
robert_stagg,RSAorg
CecileFromont,RSAorg
oscarro90,RSAorg
DJWrisley,DelilahBermudez
ArtmuseumNews,RSAorg
alchemietagung,BethanyGaunt1
HeidiMalagisi1,JSpanUK
PStiffell,EmmaLCahill
RSAorg,ArtHistoryJulia
RSAorg,jotis13
RSAorg,FranRothwellHug
RSAorg,WeiaoX
RSAorg,cenewcombe
RSAorg,anna_kowalcze
RSAorg,puckinspirit
RSAorg,csukendall
RSAorg,robert_stagg
RSAorg,RSAorg
RSAorg,LindaAnnNolan
RSAorg,RSAorg
RSAorg,serenadinepi
RSAorg,stefanovil
RSAorg,_EMoDiR_
RSAorg,helena_w_strom
RSAorg,EM_Central_Eu
RSAorg,MariaSalenius
RSAorg,walla7437
RSAorg,jessrachelhoney
RSAorg,munoz90_laura
RSAorg,kello_robin
RSAorg,VRasbridge
RECIRC_,jotis13
guttnerus,RSAorg
munoz90_laura,kello_robin
munoz90_laura,VRasbridge
365Carroll,RSAorg
Caramuelisa,Benito_Navarret
Caramuelisa,unisevilla
Caramuelisa,CIRIMA4
marshelle_w,walla7437
marshelle_w,jessrachelhoney
walla7437,jessrachelhoney
AliceISullivan,EM_Central_Eu
magdajanosik,EM_Central_Eu
thatklynch,jotis13
_conorgalvin,rhetorician
_conorgalvin,sarahceross
_conorgalvin,EmmaLCahill
AriellaMinden,AmsterdamUPress
AriellaMinden,mandyrichter_fi
AriadnayPunto,NobincisUCM
AriadnayPunto,RSAorg
IPlescia,robert_stagg
IPlescia,RSAorg
Dirk_van_Miert,jotis13
serenadinepi,stefanovil
serenadinepi,_EMoDiR_
serenadinepi,helena_w_strom
LindaAnnNolan,RSAorg
robert_stagg,RSAorg
anna_kowalcze,puckinspirit
gj_kemp,jotis13
ArtmuseumNews,LeaderAnnePhD
RichardTYoder1,stefanovil
shakesinireland,RECIRC_
shakesinireland,RSAorg
L_Sansonetti,stefanovil
samklai,jotis13
stefanovil,RichardTYoder1
egaffney4,ArtHistoryJulia
_EMoDiR_,RichardTYoder1
RSAorg,RichardTYoder1
